# r[L0]  F[rad]  Fp[rad/L0]
5.000000000000000104e-03 3.071151655375263356e+00 -1.408819964290595905e+01
9.999000000000000943e-03 3.022249287555873298e+00 -7.687289753306257190e+00
1.499800000000000091e-02 2.988579182932623812e+00 -6.005530218978997858e+00
1.999700000000000089e-02 2.961013578381423539e+00 -5.099839168290031033e+00
2.499600000000000086e-02 2.937078765459371965e+00 -4.513023031032415311e+00
2.999500000000000083e-02 2.915619284985892623e+00 -4.093592748616605270e+00
3.499399999999999733e-02 2.895985627040977839e+00 -3.774801058679082111e+00
3.999300000000000077e-02 2.877769843172769626e+00 -3.522051625560660426e+00
4.499200000000000421e-02 2.860695916802990180e+00 -3.315387490430205197e+00
4.999100000000000765e-02 2.844566824729368282e+00 -3.142383207999024375e+00
5.499000000000001109e-02 2.829236123358704003e+00 -2.994845482429155936e+00
5.998900000000001453e-02 2.814591459540420448e+00 -2.867124042218825331e+00
6.498800000000001797e-02 2.800544407433508631e+00 -2.755179492605345004e+00
6.998700000000002142e-02 2.787023896600040462e+00 -2.656037365674479567e+00
7.498600000000002486e-02 2.773971792594577046e+00 -2.567452492639408224e+00
7.998500000000002830e-02 2.761339826534146891e+00 -2.487694200575806036e+00
8.498400000000003174e-02 2.749087402211290776e+00 -2.415404083353593023e+00
8.998300000000003518e-02 2.737179992450037069e+00 -2.349499044257739033e+00
9.498200000000003862e-02 2.725587942060090807e+00 -2.289103511599164698e+00
9.998100000000004206e-02 2.714285558095958617e+00 -2.233500991762564336e+00
1.049800000000000455e-01 2.703250407403606559e+00 -2.182098761760852934e+00
1.099790000000000489e-01 2.692462766509100103e+00 -2.134401687837970130e+00
1.149780000000000524e-01 2.681905185326546537e+00 -2.089992507690522139e+00
1.199770000000000558e-01 2.671562137169866791e+00 -2.048516771606919473e+00
1.249760000000000593e-01 2.661419735083527360e+00 -2.009671195275017030e+00
1.299750000000000627e-01 2.651465499755727873e+00 -1.973194547030104440e+00
1.349740000000000661e-01 2.641688167997172432e+00 -1.938860442659692263e+00
1.399730000000000696e-01 2.632077533445324136e+00 -1.906471593225489203e+00
1.449720000000000730e-01 2.622624313107370320e+00 -1.875855171908079821e+00
1.499710000000000765e-01 2.613320034798946701e+00 -1.846859051431840815e+00
1.549700000000000799e-01 2.604156941615516807e+00 -1.819348725164830149e+00
1.599690000000000834e-01 2.595127910389821047e+00 -1.793204769803942167e+00
1.649680000000000868e-01 2.586226381712450895e+00 -1.768320740570528571e+00
1.699670000000000902e-01 2.577446299573463495e+00 -1.744601414424373331e+00
1.749660000000000937e-01 2.568782059056955003e+00 -1.721961315291125949e+00
1.799650000000000971e-01 2.560228460813806617e+00 -1.700323469331332715e+00
1.849640000000001006e-01 2.551780671269590073e+00 -1.679618349024379897e+00
1.899630000000001040e-01 2.543434187709098016e+00 -1.659782973135802475e+00
1.949620000000001074e-01 2.535184807526794426e+00 -1.640760136089533194e+00
1.999610000000001109e-01 2.527028601051695578e+00 -1.622497745323275176e+00
2.049600000000001143e-01 2.518961887451928394e+00 -1.604948249194645626e+00
2.099590000000001178e-01 2.510981213303127735e+00 -1.588068141173651249e+00
2.149580000000001212e-01 2.503083333469591221e+00 -1.571817528588015156e+00
2.199570000000001246e-01 2.495265194000495068e+00 -1.556159756221708657e+00
2.249560000000001281e-01 2.487523916787712341e+00 -1.541061076710400712e+00
2.299550000000001315e-01 2.479856785768595806e+00 -1.526490361012356578e+00
2.349540000000001350e-01 2.472261234487878490e+00 -1.512418843322934858e+00
2.399530000000001384e-01 2.464734834858685719e+00 -1.498819895694520898e+00
2.449520000000001418e-01 2.457275286984442975e+00 -1.485668828360051652e+00
2.499510000000001453e-01 2.449880409921899815e+00 -1.472942712367572016e+00
2.549500000000001210e-01 2.442548133281140288e+00 -1.460620221639522542e+00
2.599490000000000967e-01 2.435276489571797764e+00 -1.448681491992781289e+00
2.649480000000000723e-01 2.428063607216096820e+00 -1.437107995009120343e+00
2.699470000000000480e-01 2.420907704159128482e+00 -1.425882424942945592e+00
2.749460000000000237e-01 2.413807082015188676e+00 -1.414988597103835177e+00
2.799449999999999994e-01 2.406760120696273653e+00 -1.404411356363495011e+00
2.849439999999999751e-01 2.399765273475112703e+00 -1.394136494616795341e+00
2.899429999999999508e-01 2.392821062440581681e+00 -1.384150676179884965e+00
2.949419999999999265e-01 2.385926074308081901e+00 -1.374441370239328775e+00
2.999409999999999021e-01 2.379078956551613722e+00 -1.364996789578385661e+00
3.049399999999998778e-01 2.372278413827897836e+00 -1.355805834902893192e+00
3.099389999999998535e-01 2.365523204666069912e+00 -1.346858044172197788e+00
3.149379999999998292e-01 2.358812138399261293e+00 -1.338143546412220219e+00
3.199369999999998049e-01 2.352144072316838308e+00 -1.329653019549763338e+00
3.249359999999997806e-01 2.345517909018233205e+00 -1.321377651860983216e+00
3.299349999999997562e-01 2.338932593951220440e+00 -1.313309106673749005e+00
3.349339999999997319e-01 2.332387113119187116e+00 -1.305439490004415726e+00
3.399329999999997076e-01 2.325880490943448287e+00 -1.297761320845171706e+00
3.449319999999996833e-01 2.319411788268005203e+00 -1.290267503849330755e+00
3.499309999999996590e-01 2.312980100495329872e+00 -1.282951304189304809e+00
3.549299999999996347e-01 2.306584555842825512e+00 -1.275806324386054902e+00
3.599289999999996104e-01 2.300224313710572233e+00 -1.268826482930007771e+00
3.649279999999995860e-01 2.293898563151803849e+00 -1.262005994532117148e+00
3.699269999999995617e-01 2.287606521438343421e+00 -1.255339351860279118e+00
3.749259999999995374e-01 2.281347432713897394e+00 -1.248821308630939653e+00
3.799249999999995131e-01 2.275120566728735749e+00 -1.242446863938715174e+00
3.849239999999994888e-01 2.268925217649835346e+00 -1.236211247718378203e+00
3.899229999999994645e-01 2.262760702941069457e+00 -1.230109907243824630e+00
3.949219999999994402e-01 2.256626362308477241e+00 -1.224138494577784009e+00
3.999209999999994158e-01 2.250521556706061688e+00 -1.218292854894206245e+00
4.049199999999993915e-01 2.244445667397931388e+00 -1.212569015602553035e+00
4.099189999999993672e-01 2.238398095072938521e+00 -1.206963176209764121e+00
4.149179999999993429e-01 2.232378259008278132e+00 -1.201471698861527493e+00
4.199169999999993186e-01 2.226385596278784185e+00 -1.196091099509746014e+00
4.249159999999992943e-01 2.220419561008916798e+00 -1.190818039657823180e+00
4.299149999999992700e-01 2.214479623664662000e+00 -1.185649318639652394e+00
4.349139999999992456e-01 2.208565270382779833e+00 -1.180581866392030665e+00
4.399129999999992213e-01 2.202676002335028027e+00 -1.175612736683685711e+00
4.449119999999991970e-01 2.196811335125163467e+00 -1.170739100767233865e+00
4.499109999999991727e-01 2.190970798216682613e+00 -1.165958241423221908e+00
4.549099999999991484e-01 2.185153934389418406e+00 -1.161267547367969666e+00
4.599089999999991241e-01 2.179360299223235486e+00 -1.156664507999257685e+00
4.649079999999990997e-01 2.173589460607197932e+00 -1.152146708456018409e+00
4.699069999999990754e-01 2.167840998272695607e+00 -1.147711824970103933e+00
4.749059999999990511e-01 2.162114503349117811e+00 -1.143357620489956261e+00
4.799049999999990268e-01 2.156409577940765043e+00 -1.139081940557592043e+00
4.849039999999990025e-01 2.150725834723772767e+00 -1.134882709421763058e+00
4.899029999999989782e-01 2.145062896561910737e+00 -1.130757926371481092e+00
4.949019999999989539e-01 2.139420396140188974e+00 -1.126705662275300446e+00
4.999009999999989295e-01 2.133797975615278730e+00 -1.122724056312857321e+00
5.048999999999989052e-01 2.128195286281818088e+00 -1.118811312886176745e+00
5.098989999999988809e-01 2.122611988253732207e+00 -1.114965698699185159e+00
5.148979999999988566e-01 2.117047750159756436e+00 -1.111185539994713256e+00
5.198969999999988323e-01 2.111502248852398456e+00 -1.107469219939054117e+00
